(236.1, 72)
(238.2, 71)
(240.1, 78)
(241.7, 73)
(243.7, 79)
(245.6, 82)
(247.3, 85)
(249.0, 90)
(250.8, 92)
(252.6, 188)
(254.5, 188)
(256.3, 173)
(257.9, 175)
(259.6, 171)
(261.5, 168)
(263.3, 170)
(265.1, 168)
(267.0, 161)
(268.7, 159)
(270.6, 154)
(272.7, 145)
(274.5, 168)
(276.4, 143)
(278.6, 147)
(280.7, 145)
(282.7, 145)
(284.7, 146)
(286.8, 147)
(289.0, 147)
(291.0, 141)
(292.9, 117)
(294.9, 121)
(296.9, 120)
(298.9, 121)
(300.9, 121)
(302.8, 125)
(304.6, 125)
(306.7, 115)
(308.9, 104)
(310.4, 97)
(312.2, 93)
(314.1, 86)
(315.9, 82)
(318.2, 82)
(321.9, 64)
(324.1, 66)
(326.1, 65)
(328.0, 66)
(329.9, 61)
(331.8, 61)
(334.1, 58)
(336.1, 59)
(338.1, 57)
(340.4, 53)
(342.5, 54)
(344.5, 0)
(349.0, 30)
(352.6, 34)
(354.8, 46)
(357.2, 49)
(359.1, 47)
(361.0, 45)
(362.7, 44)
(364.7, 45)
(366.8, 40)
(368.4, 42)
(370.2, 42)
(372.1, 43)
(373.9, 42)
(375.8, 38)
(377.7, 48)
(379.9, 39)
(381.8, 41)
(383.8, 45)
(385.5, 41)
(387.3, 44)
(389.1, 46)
(391.2, 45)
(393.2, 49)
(395.0, 48)
(396.9, 52)
(399.0, 48)
(401.4, 45)
(403.4, 49)
(405.2, 47)
(406.8, 46)
(409.0, 132)
(411.6, 125)
(413.9, 99)
(415.8, 95)
(418.2, 92)
(419.9, 94)
(421.7, 96)
(423.8, 90)
(425.4, 94)
(427.1, 92)
(429.2, 92)
(431.2, 90)
(432.9, 86)
(434.7, 87)
(436.8, 91)
(438.7, 102)
(440.7, 108)
(442.5, 103)
(444.2, 100)
(446.1, 96)
(448.2, 90)
(450.3, 96)
(452.1, 97)
(454.1, 92)
(456.1, 94)
(458.3, 95)
(460.2, 92)
(462.3, 95)
(464.5, 92)
(466.7, 95)
(468.6, 92)
(470.7, 95)
(472.7, 92)
(474.6, 94)
(476.7, 93)
(478.7, 95)
(480.6, 94)
(482.9, 97)
(484.9, 98)
(486.5, 98)
(488.6, 103)
(490.6, 100)
(491.9, 100)
(494.2, 106)
(496.3, 108)
(498.0, 111)
(499.9, 113)
(501.9, 115)
(503.5, 116)
(505.5, 121)
(507.5, 124)
(509.3, 127)
(511.4, 132)
(513.5, 136)
(515.2, 142)
(517.0, 149)
(519.2, 157)
(521.0, 163)
(523.1, 173)
(525.2, 184)
(527.3, 198)
(529.3, 208)
(531.0, 223)
(533.0, 245)
(535.1, 266)
(537.3, 289)
(539.0, 324)
(540.9, 374)
(543.0, 471)
(544.9, 488)
(546.6, 484)
(548.3, 487)
(550.2, 494)
(552.3, 480)
(554.0, 483)
(555.6, 481)
(557.4, 479)
(559.5, 448)
(561.2, 453)
(562.7, 326)
(564.5, 336)
(566.4, 327)
(568.4, 329)
(570.1, 369)
(571.6, 435)
(573.8, 427)
(575.8, 41)
(579.0, 66)
(580.8, 68)
(582.8, 65)
(584.8, 69)
(587.0, 70)
(589.1, 71)
(590.8, 72)
(592.9, 70)
(595.1, 73)
(597.1, 72)
(599.3, 73)
(601.1, 73)
(603.0, 78)
(605.2, 81)
(607.3, 81)
(608.9, 91)
(611.2, 92)
(613.3, 187)
(614.9, 188)
(616.9, 174)
(618.7, 172)
(620.4, 167)
(622.2, 168)
(624.2, 170)
(626.0, 164)
(627.8, 155)
(629.8, 157)
(631.5, 149)
(633.7, 168)
(635.6, 159)
(637.3, 143)
(639.3, 147)
(641.5, 145)
(643.5, 145)
(645.4, 146)
(647.2, 147)
(649.4, 146)
(651.9, 121)
(653.9, 119)
(655.6, 120)
(657.7, 121)
(660.0, 120)
(661.9, 125)
(663.9, 124)
(665.6, 122)
(667.5, 107)
(669.7, 103)
(671.6, 92)
(673.4, 87)
(675.2, 80)
(677.0, 90)
(680.6, 60)
(682.6, 63)
(684.6, 66)
(686.4, 68)
(688.0, 66)
(690.0, 63)
(691.9, 61)
(693.5, 59)
(695.4, 58)
(697.4, 58)
(699.3, 54)
(701.2, 53)
(703.1, 48)
(704.8, 0)
(709.6, 51)
(712.4, 41)
(714.7, 49)
(717.0, 47)
(719.0, 49)
(721.1, 46)
(722.9, 45)
(724.8, 46)
(727.1, 45)
(729.3, 43)
(731.1, 44)
(732.7, 44)
(734.7, 40)
(736.6, 38)
(738.5, 39)
(740.6, 51)
(742.4, 41)
(744.2, 44)
(746.2, 42)
(748.1, 43)
(750.0, 42)
(751.8, 48)
(753.5, 52)
(755.6, 53)
(757.7, 51)
(759.5, 45)
(761.6, 46)
(763.6, 49)
(765.5, 48)
(767.9, 129)
(770.5, 111)
(772.6, 97)
(775.4, 97)
(778.0, 95)
(780.4, 91)
(782.4, 92)
(784.4, 96)
(786.7, 94)
(788.7, 91)
(790.3, 91)
(792.2, 87)
(794.5, 85)
(796.3, 81)
(797.9, 96)
(799.7, 100)
(801.9, 107)
(803.6, 103)
(805.8, 98)
(807.6, 97)
(809.8, 92)
(811.6, 94)
(813.4, 96)
(815.1, 96)
(816.8, 95)
(819.1, 92)
(821.0, 92)
(822.9, 92)
(824.8, 92)
(826.9, 91)
(828.8, 92)
(830.9, 92)
(832.8, 92)
(834.9, 91)
(837.1, 92)
(838.9, 95)
(840.9, 95)
(842.7, 95)
(844.7, 97)
